TRANSCATION_ID,ACCOUNT_ID,TRANSCATION_DATE,TRANSCATION_MEDIA,TRANSCATION_TYPE,TRANSCATION_AMOUNT
T00071,A00165,2021-12-23,Debit_Card,Withdrawal,89377
,A00988,2018-03-28,Cash,Withdrawal,27390
T00073,A00902,2016-06-04,Check,,95538
,A00216,2014-10-11,Check,Withdrawal,82413
T00075,A00420,2015-03-26,,Transfer,31639
,A00756,2016-08-13,Cash,Withdrawal,33377
T00077,A00118,2014-11-16,Debit_Card,Deposit,70043
T00078,A00064,2023-05-10,Cash,Withdrawal,91381
T00079,A00549,2018-09-06,Debit_Card,Deposit,39511
T00080,A00302,null,Debit_Card,Withdrawal,64304
T00081,A00217,2014-06-17,Debit_Card,Transfer,28074
T00082,A00237,null,Credit_Card,Withdrawal,1498
T00083,A00740,2020-07-25,Check,Purchase,20317
T00084,A00125,2016-09-23,,,32791
T00085,A00394,null,,Deposit,75736
T00086,A00046,2017-12-08,Cash,Withdrawal,null
T00087,A00836,2019-01-19,Credit_Card,Deposit,33090
T00088,A00062,2021-08-11,Cash,Purchase,70766
T00089,A00867,2023-01-24,Check,Deposit,63343
,A00450,2019-08-29,Cash,Deposit,36523
,A00700,2021-05-10,Check,Withdrawal,54686
T00092,A00803,null,Credit_Card,Withdrawal,31879
T00093,A00458,2016-05-10,,Withdrawal,86558
,,2018-03-19,Debit_Card,Withdrawal,4544
T00095,A00517,2023-07-17,Debit_Card,Withdrawal,9524
,A00685,null,Debit_Card,Deposit,18715
,A00587,2022-07-14,Debit_Card,Deposit,39981
T00098,A00344,2015-03-18,Debit_Card,Deposit,13940
,A00363,2020-03-20,Cash,Deposit,85099
T00100,A00081,2018-09-07,Cash,Transfer,28301
T00101,A00323,2018-01-26,,Purchase,58668
T00102,A00414,2014-02-12,Credit_Card,Withdrawal,62505
T00103,A00018,2023-06-09,Debit_Card,Transfer,11185
T00104,A00431,null,,Withdrawal,30044
,A00261,2021-03-01,Credit_Card,Purchase,46031
T00106,,2014-12-08,Cash,Withdrawal,null
T00107,,2019-07-18,,Deposit,29861
,A00090,2018-03-02,Debit_Card,Purchase,20748
T00109,A00988,2021-10-06,,Deposit,null
T00110,,2017-06-01,Credit_Card,Purchase,30693
T00111,,2022-06-08,Debit_Card,,48224
T00112,A00740,2014-09-23,Cash,Transfer,73084
T00113,A00040,2022-09-11,Check,Purchase,null
T00114,A00869,2023-03-28,Check,Transfer,null
T00115,A00196,2023-06-22,Check,Deposit,29894
T00116,A00515,2016-11-29,Check,Purchase,3984
,A00118,2019-12-12,Debit_Card,Withdrawal,48081
,A00075,null,Cash,Transfer,17285
T00119,A00175,2020-03-21,Credit_Card,Deposit,20207
T00120,A00786,2022-04-17,Credit_Card,Deposit,null
T00121,A00358,null,Cash,Withdrawal,80793
T00122,A00108,2020-08-08,Credit_Card,Purchase,33978
T00123,A00642,null,Cash,Purchase,17843
T00124,A00360,2018-04-19,Credit_Card,Deposit,75186
T00125,A00846,2015-11-29,Credit_Card,,2428
,A00036,2018-12-02,Check,Withdrawal,35544
T00127,A00896,2020-11-09,Credit_Card,Deposit,63050
T00128,A00610,2016-12-05,Debit_Card,Withdrawal,22660
,,2015-02-28,Credit_Card,Withdrawal,17023
T00130,A00932,2023-02-26,Check,,46382
T00131,A00783,2018-08-29,Credit_Card,Deposit,84003
T00132,A00095,2021-04-27,Check,Transfer,20369
T00133,A00460,null,,Purchase,96806
T00134,A00089,2014-09-01,Cash,Transfer,13266
T00135,A00565,2023-04-05,,,46886
T00136,A00227,2016-01-24,Cash,Deposit,51052
T00137,A00041,2017-04-10,Credit_Card,Deposit,18239
T00138,A00103,2022-12-14,Debit_Card,Purchase,42854
T00139,A00738,2021-05-30,Debit_Card,Withdrawal,32019
,A00211,2018-06-29,Credit_Card,,8617
T00141,A00593,2018-04-25,Credit_Card,,68548
T00142,,2023-05-21,Check,Withdrawal,8271
T00143,A00170,2015-09-07,Credit_Card,Purchase,9013
T00144,A00312,2017-10-19,Credit_Card,Deposit,78998
T00145,A00626,2016-12-10,Cash,Purchase,59078
T00146,A00046,2013-11-21,Debit_Card,Withdrawal,18478
T00147,A00032,2022-12-27,Cash,Withdrawal,26472
T00148,A00048,2017-11-17,Check,Transfer,55346
T00149,A00761,2014-09-13,Check,Purchase,null
T00150,A00830,2016-12-09,Debit_Card,,51469
T00151,A00052,null,,Transfer,52098
T00152,,2013-12-14,Cash,Deposit,70028
T00153,A00658,2021-05-18,Cash,Deposit,47054
T00154,A00091,2018-10-21,Cash,Withdrawal,77689
T00155,A00502,2015-09-05,Debit_Card,Deposit,45403
,A00835,2015-09-21,Check,Transfer,null
,,2021-11-02,Credit_Card,Withdrawal,27547
,A00752,2017-01-15,Cash,Purchase,9214
T00159,A00172,2020-08-11,Credit_Card,Deposit,54797
T00160,A00941,2017-09-13,Credit_Card,Deposit,15904
T00161,A00071,2020-07-20,Cash,Transfer,91441
T00162,A00165,2013-11-14,Debit_Card,,60574
T00163,A00206,2018-03-26,Credit_Card,Withdrawal,48142
T00164,A00493,2014-03-30,Debit_Card,,34273
T00165,A00855,2015-08-11,Credit_Card,Deposit,null
T00166,A00292,2014-10-24,Debit_Card,Purchase,45061
T00167,A00920,2017-11-15,Credit_Card,Withdrawal,78563
,A00718,2020-12-11,Check,Deposit,37965
T00169,,2016-12-17,,Purchase,null
T00170,A00602,2021-06-11,Credit_Card,Deposit,13743
T00171,A00627,2014-11-22,Credit_Card,Purchase,76575
T00172,A00173,2022-04-27,Check,,67093
T00173,A00623,2023-03-22,Credit_Card,Deposit,57460
,A00626,2018-09-26,Credit_Card,Withdrawal,72675
T00175,A00570,2019-04-02,Check,Withdrawal,99622
T00176,A00886,2019-09-18,Credit_Card,Withdrawal,63530
T00177,A00115,2018-10-02,Debit_Card,Transfer,46814
T00178,,2016-12-26,Cash,Purchase,28393
T00179,A00685,2022-03-26,Debit_Card,Withdrawal,34218
T00180,A00416,2022-01-24,Credit_Card,Deposit,70544
,A00553,2023-03-20,Cash,Transfer,44979
T00182,A00992,2019-05-10,Cash,Withdrawal,55598
T00183,,2020-07-11,,Purchase,40373
T00184,A00491,2016-03-29,Check,,null
T00185,A00557,2015-10-19,,Transfer,82481
T00186,A00534,2022-05-31,Credit_Card,Transfer,37207
T00187,A00446,2020-07-30,Check,,82862
T00188,A00322,2020-10-01,Cash,Transfer,34047
T00189,A00446,2019-09-16,Debit_Card,Purchase,null
,A00077,2015-11-26,Cash,Purchase,null
T00191,A00773,2019-03-20,Check,Withdrawal,38882
T00192,A00931,2023-03-14,Cash,Transfer,83477
T00193,A00160,2021-11-26,Check,Purchase,57882
T00194,A00671,2015-11-12,Cash,Purchase,49980
T00195,A00102,2013-11-09,Check,Withdrawal,58617
T00196,A00752,2015-04-25,,Deposit,69970
T00197,A00834,2019-05-21,Cash,Withdrawal,35510
T00198,A00751,2014-08-20,Credit_Card,Purchase,62361
T00199,A00978,2014-03-02,,Deposit,10990
T00200,A00675,2023-05-03,Debit_Card,Withdrawal,75130
T00201,A00842,2021-07-14,Credit_Card,Withdrawal,58447
T00202,A00691,2019-01-18,Check,,28189
T00203,A00304,2017-02-03,Check,Withdrawal,89397
T00204,A00128,2017-05-25,Debit_Card,Deposit,97769
T00205,A00362,2016-03-20,Credit_Card,Purchase,null
T00206,,2015-04-18,Cash,,71861
T00207,A00630,2021-03-21,Debit_Card,Deposit,null
T00208,A00725,2017-09-16,Check,Transfer,67650
T00209,A00403,2015-01-14,Check,,69776
T00210,A00511,null,Check,Transfer,null
T00211,A00169,2021-04-24,Cash,Transfer,57775
T00212,A00889,2018-07-09,Credit_Card,Withdrawal,93904
,A00042,2013-12-18,Check,Withdrawal,59941
T00214,,2019-11-26,Check,Transfer,27526
T00215,A00753,null,Debit_Card,Purchase,26206
T00216,A00888,2017-09-30,Check,Transfer,36547
T00217,A00973,2022-09-20,Credit_Card,Deposit,83388
T00218,A00975,2019-10-02,Credit_Card,Withdrawal,23871
T00219,,2023-01-24,Cash,Transfer,81325
T00220,A00861,2016-06-17,Cash,Purchase,11500
T00221,A00881,2019-07-14,Credit_Card,Purchase,77157
,,2023-04-28,Debit_Card,Purchase,16445
T00223,,2022-02-14,Cash,,93692
T00224,A00953,2015-04-03,Debit_Card,Withdrawal,95864
T00225,,2013-11-24,Cash,Withdrawal,55359
T00226,,2022-09-08,,Transfer,31151
T00227,A00978,2015-01-24,Cash,Deposit,26236
T00228,A00159,null,Check,Deposit,null
T00229,A00660,2021-02-04,Debit_Card,Withdrawal,15033
T00230,A00732,2019-11-15,Credit_Card,Purchase,79974
T00231,A00801,2015-02-10,Credit_Card,Deposit,42419
,A00801,2014-05-18,Credit_Card,Deposit,37859
T00233,A00567,null,Debit_Card,Deposit,null
T00234,A00165,2020-05-12,Cash,Withdrawal,10048
,A00278,2016-08-22,Cash,Purchase,38487
T00236,A00163,2020-08-27,Cash,Deposit,78437
T00237,A00430,2018-07-28,Cash,Purchase,77087
T00238,A00781,2020-07-20,,Purchase,37986
,A00473,2020-01-21,Debit_Card,,13621
T00240,A00868,2020-04-26,Debit_Card,Withdrawal,51218
,A00564,2015-01-21,Credit_Card,Deposit,31854
T00242,A00972,null,Cash,Deposit,61055
T00243,,null,Debit_Card,Deposit,3713
T00244,A00549,null,Debit_Card,Purchase,54316
T00245,A00145,2021-08-13,Check,Withdrawal,69699
T00246,A00527,2018-04-27,Check,Deposit,48774
T00247,A01000,2013-12-10,Credit_Card,Withdrawal,95089
T00248,A00035,2020-05-10,Credit_Card,Purchase,17716
T00249,A00969,2021-02-06,Debit_Card,,45995
T00250,A00139,2016-01-31,Check,Transfer,47496
T00251,A00246,2023-04-28,Check,Withdrawal,67895
,A00794,2016-08-16,Check,Purchase,91210
T00253,A00027,2023-03-31,Credit_Card,Deposit,50518
T00254,A00943,2018-11-15,Cash,Deposit,16115
T00255,A00551,2018-05-26,Cash,Withdrawal,63509
,A00039,2015-01-07,Debit_Card,Withdrawal,10346
T00257,A00104,2022-12-21,Cash,Purchase,49383
T00258,A00744,null,Check,Withdrawal,17653
T00259,A00399,2017-03-16,Check,Withdrawal,68971
T00260,A00461,2023-08-18,Check,,54094
T00261,A00641,2016-09-21,Debit_Card,,85125
T00262,A00978,2017-09-11,Credit_Card,Deposit,74678
T00263,,2017-09-23,Debit_Card,Withdrawal,62021
T00264,A00737,2021-03-25,Check,Deposit,96169
T00265,A00579,2014-03-18,Check,Transfer,null
,A00429,2014-12-28,Credit_Card,Deposit,97215
T00267,A00604,2014-05-21,Credit_Card,Transfer,61665
T00268,A00250,2022-03-17,,Withdrawal,39563
T00269,A00092,2016-08-20,Debit_Card,Withdrawal,64735
T00270,A00074,null,,Purchase,3963
T00271,A00662,2018-08-15,Check,,58399
T00272,A00406,2015-05-13,,Deposit,94368
T00273,A00002,2014-09-23,Check,Deposit,53611
T00274,A00176,2017-10-14,,Withdrawal,18703
T00275,A00955,2020-09-15,,Purchase,51949
T00276,A00168,2017-07-02,Credit_Card,Withdrawal,25777
T00277,A00909,2021-08-21,Credit_Card,Deposit,98016
T00278,A00659,2022-08-30,Debit_Card,Purchase,37696
T00279,A00479,null,Cash,Purchase,79110
T00280,A00803,2023-01-12,Cash,Deposit,52117
T00281,A00391,2017-09-22,Credit_Card,Transfer,40736
,A00643,2021-12-03,Credit_Card,Deposit,2005
T00283,A00759,2023-03-21,Credit_Card,Deposit,549
,A00463,2015-12-13,Debit_Card,Purchase,5955
T00285,A00274,2022-09-04,Credit_Card,Withdrawal,36616
T00286,A00436,2019-11-15,Credit_Card,,96015
T00287,A00343,2015-01-03,Debit_Card,Withdrawal,63548
,A00435,2020-06-15,Check,Withdrawal,57062
T00289,,2014-04-23,Check,Purchase,9077
T00290,A00129,2017-10-01,Check,Withdrawal,null
T00291,A00326,2016-09-06,Credit_Card,Transfer,14410
T00292,A00399,2019-07-23,Debit_Card,,60428
T00293,A00742,2013-12-08,Cash,Transfer,99908
T00294,A00110,2020-05-06,Credit_Card,Deposit,28723
T00295,A00206,2019-03-10,Cash,Withdrawal,22604
T00296,A00771,2018-03-30,Credit_Card,Withdrawal,52793
T00297,A00209,2018-02-01,Debit_Card,Withdrawal,null
T00298,A00646,2018-03-09,Cash,Purchase,22276
T00299,A00737,2018-07-18,Credit_Card,Deposit,47878
T00300,A00565,2020-07-08,Debit_Card,Purchase,51312
T00301,A00543,2019-07-02,,Withdrawal,37440
T00302,A00251,null,Debit_Card,Purchase,77306
T00303,,2017-04-26,,Withdrawal,41706
T00304,A00431,2016-12-02,,Withdrawal,14847
,,2017-10-21,Credit_Card,Purchase,null
T00306,A00589,null,Cash,Transfer,22938
T00307,A00767,2017-04-27,Credit_Card,,82615
T00308,A00468,2016-07-05,Cash,Purchase,14778
T00309,A00537,2020-07-09,Cash,Transfer,96770
T00310,A00799,2018-04-08,Cash,Purchase,28331
T00311,A00147,2017-01-06,Debit_Card,Deposit,98991
,A00190,null,Check,Deposit,82420
T00313,A00103,2013-12-08,Credit_Card,Deposit,59851
T00314,A00749,2023-07-04,Credit_Card,Purchase,null
T00315,A00663,2015-05-25,Debit_Card,,81099
T00316,A00882,2019-11-23,Cash,Transfer,78856
T00317,A00984,2019-10-10,Debit_Card,Purchase,92894
T00318,A00140,2018-08-26,Cash,Transfer,95184
T00319,A00121,2016-03-14,Credit_Card,Deposit,4259
T00320,A00946,2023-03-19,Debit_Card,Purchase,90898
T00321,A00847,2020-09-12,Debit_Card,Withdrawal,null
,A00499,null,Debit_Card,Purchase,54386
T00323,A00459,2013-11-13,Credit_Card,Deposit,78432
T00324,A00860,null,Credit_Card,,88236
T00325,A00633,2015-12-24,Check,Deposit,40789
T00326,A00447,2019-11-14,Debit_Card,Transfer,29558
T00327,A00285,2023-03-26,Debit_Card,Deposit,85290
,A00930,2019-07-01,,Deposit,35925
T00329,A00125,2015-03-22,Credit_Card,,27019
T00330,A00355,2022-09-28,Debit_Card,,21561
T00331,A00465,2015-08-16,,Deposit,5428
T00332,A00672,2018-11-29,Check,Withdrawal,7517
,A00872,2018-01-14,Credit_Card,Purchase,98002
T00334,A00642,2021-01-09,Credit_Card,Purchase,28596
T00335,A00830,2014-06-20,Debit_Card,Withdrawal,6293
T00336,A00681,2015-08-09,Credit_Card,Purchase,null
T00337,A00167,2020-04-28,Check,Purchase,2900
T00338,A00500,2017-09-09,Debit_Card,Withdrawal,57180
,,2018-09-30,Cash,Withdrawal,22395
T00340,A00522,2016-06-19,Credit_Card,Transfer,53050
T00341,A00582,2023-08-19,Cash,Deposit,73493
T00342,A00837,2021-06-23,Cash,Deposit,90930
T00343,A00726,2020-02-18,Credit_Card,Purchase,40301
T00344,A00877,2020-09-11,Check,Deposit,99347
T00345,A00662,2015-11-03,Debit_Card,Purchase,52688
,A00195,2016-07-01,Credit_Card,Transfer,26394
T00347,A00129,2018-11-04,Check,,23082
T00348,A00647,2022-09-30,Credit_Card,Deposit,26815
T00349,A00204,2016-06-16,Debit_Card,Deposit,75837
T00350,A00171,2023-06-18,Credit_Card,Withdrawal,61429
T00351,A00945,2023-04-17,Credit_Card,Deposit,15042
T00352,A00380,2021-02-07,Check,Deposit,50452
T00353,A00149,2023-03-12,Check,Withdrawal,70275
T00354,A00710,2021-02-28,Credit_Card,Transfer,18756
T00355,,2016-08-16,Credit_Card,,91013
T00356,A00533,2016-06-22,Cash,Purchase,1923
T00357,A00437,2020-11-05,Check,Deposit,51290
T00358,A00130,2017-04-29,Credit_Card,,3038
T00359,A00626,2014-03-23,Credit_Card,Purchase,62438
T00360,A00747,2018-08-01,Credit_Card,Purchase,null
T00361,A00569,2015-09-26,Check,Purchase,82266
T00362,A00751,2013-11-24,Credit_Card,Transfer,7944
T00363,A00534,2014-08-17,Check,Deposit,23845
T00364,A00431,2013-12-31,Cash,Deposit,57284
T00365,A00803,2023-08-15,Credit_Card,Purchase,31219
T00366,A00459,2019-06-09,Cash,Purchase,18659
T00367,A00916,null,Check,Deposit,35240
,A00606,2020-08-08,Cash,Transfer,19193
T00369,A00693,2019-10-09,Cash,Purchase,20237
T00370,A00421,2014-05-02,,Deposit,36046
T00371,,2014-03-06,Cash,Withdrawal,68539
T00372,A00652,null,Cash,Transfer,88776
T00373,A00895,2019-11-22,Debit_Card,Withdrawal,80828
T00374,A00777,2022-03-19,,Deposit,46815
T00375,A00449,2021-08-07,Debit_Card,Purchase,null
T00376,A00515,2014-06-28,Credit_Card,Deposit,null
,A00849,2020-06-13,Credit_Card,Transfer,79639
T00378,A00426,2018-05-25,Check,Withdrawal,88157
T00379,A00087,2021-06-12,Debit_Card,Withdrawal,11033
T00380,A00519,2020-05-22,Credit_Card,Withdrawal,84372
T00381,,2020-03-16,Cash,Transfer,113
T00382,A00607,null,Cash,Withdrawal,83181
T00383,A00334,2018-10-26,Check,Withdrawal,10788
T00384,A00651,2021-09-05,Check,Transfer,92380
,A00566,2021-08-15,Debit_Card,,5800
T00386,A00708,2021-07-30,,Purchase,12810
T00387,A00134,2018-04-17,Check,Transfer,87580
T00388,A00524,2021-03-01,Cash,Transfer,545
T00389,A00334,2019-12-03,Check,Purchase,49774
T00390,A00653,2016-10-19,Check,Purchase,57862
T00391,A00576,null,Debit_Card,Transfer,96943
T00392,A00148,2015-09-17,Check,,73426
T00393,A00455,2018-03-07,Credit_Card,,34682
,A00478,2016-10-29,,Transfer,21240
,A00282,2016-09-22,Cash,Transfer,62841
T00396,A00675,2015-09-28,Check,Transfer,null
,A00760,2022-07-07,Debit_Card,Purchase,4763
T00398,A00691,null,Debit_Card,Purchase,68324
,A00266,2016-03-26,Credit_Card,Withdrawal,65691
T00400,,2015-04-22,Cash,Purchase,10641
T00401,A00812,2022-06-09,Cash,Withdrawal,45316
T00402,A00214,2018-06-26,Debit_Card,,46704
T00403,A00944,2018-10-18,,Transfer,20610
T00404,A00394,2014-02-26,Debit_Card,Transfer,18809
T00405,A00539,2021-03-04,Check,Deposit,51503
,A00629,2019-09-13,Debit_Card,Withdrawal,null
T00407,A00862,2022-01-21,Check,Purchase,null
T00408,A00201,2016-10-09,Cash,Deposit,52435
T00409,A00081,2022-07-28,Cash,Deposit,57832
T00410,A00414,2018-12-04,Credit_Card,Withdrawal,31932
T00411,A00344,2017-08-06,Debit_Card,Transfer,94579
T00412,A00062,2020-02-20,Credit_Card,Withdrawal,null
T00413,A00148,null,Credit_Card,Withdrawal,48701
T00414,A00287,2017-12-23,,Withdrawal,null
T00415,A00665,2017-06-08,Debit_Card,Withdrawal,18844
T00416,A00728,2019-02-07,Cash,Purchase,29277
T00417,A00101,2014-12-22,Credit_Card,Deposit,98731
T00418,A00276,2014-06-08,Cash,Deposit,null
T00419,A00058,2014-06-25,Cash,Purchase,82364
T00420,A00165,2013-10-27,Check,Deposit,59119
T00421,A00039,2018-05-02,Debit_Card,Purchase,87895
,A00789,2016-04-02,Check,Transfer,9938
,A00659,2014-04-22,Cash,Purchase,88131
T00424,A00865,2018-03-16,Credit_Card,,25830
T00425,A00572,2018-09-23,Check,,70311
T00426,A00683,2023-03-16,Check,Transfer,86952
T00427,A00870,2021-05-15,,Deposit,62578
T00428,A00522,2021-12-25,Credit_Card,Deposit,92010
T00429,A00704,2018-02-08,Credit_Card,,48490
T00430,A00411,2023-03-05,Cash,,21251
,A00034,2015-07-24,Cash,Purchase,22588
T00432,A00216,2019-05-14,Cash,Purchase,null
T00433,,2019-07-06,Cash,Purchase,725
T00434,A00232,2016-04-18,Cash,Withdrawal,24855
T00435,,2016-09-18,,Purchase,null
T00436,A00858,2014-11-22,Check,Purchase,null
,A00538,2015-03-14,Cash,Withdrawal,39127
T00438,A00457,2018-10-28,Debit_Card,Withdrawal,90040
T00439,A00576,2016-01-06,Credit_Card,Transfer,90906
T00440,A00332,2018-12-09,Debit_Card,Purchase,22865
T00441,A00856,2021-02-08,Credit_Card,Withdrawal,57126
T00442,A00215,2021-09-01,Check,,34538
T00443,A00250,2014-06-10,Credit_Card,Deposit,72116
T00444,,2023-03-06,Cash,,37261
T00445,A00325,2020-04-05,Cash,,31150
,A00229,2021-11-21,Debit_Card,Withdrawal,40979
,A00730,2020-03-23,Cash,Purchase,36113
T00448,A00392,2020-09-13,Cash,Deposit,52457
T00449,A00872,2022-08-24,Check,Deposit,51734
,A00431,2023-01-10,,Withdrawal,76441
T00451,A00518,2019-10-25,Debit_Card,Purchase,17365
T00452,A00605,2019-11-12,Debit_Card,,69247
T00453,A00768,2015-04-26,Credit_Card,Deposit,81642
T00454,A00238,2017-02-27,Check,Deposit,58847
T00455,,2016-06-17,Check,Transfer,null
T00456,A00255,2016-09-29,Credit_Card,Transfer,66449
T00457,A00857,2023-07-09,Check,Purchase,29340
T00458,A00553,2015-05-18,Check,Transfer,62038
T00459,A00113,2014-02-03,Debit_Card,Deposit,79336
T00460,,2014-03-02,Check,Deposit,19249
T00461,A00194,2017-11-27,Cash,Withdrawal,70676
T00462,A00363,2018-07-24,Cash,Transfer,4840
T00463,A00555,2022-05-21,,Withdrawal,94796
T00464,A00162,2019-06-27,Cash,Withdrawal,13797
T00465,A00487,2015-03-25,Credit_Card,Deposit,14620
T00466,A00127,2022-02-14,Debit_Card,Purchase,67290
T00467,A00214,2017-02-14,Cash,Transfer,31361
T00468,A00561,2016-07-29,,Withdrawal,46316
T00469,A00966,2014-10-07,Debit_Card,Deposit,null
T00470,,2021-11-01,Check,Withdrawal,50731
T00471,A00422,null,Debit_Card,Deposit,34499
T00472,A00642,2023-02-21,Cash,Transfer,43653
T00473,A00996,2014-07-23,Debit_Card,Transfer,19830
T00474,A00094,2020-12-17,Check,Deposit,92688
T00475,A00713,2020-07-12,Check,Purchase,81942
T00476,A00470,2021-05-16,Credit_Card,Deposit,65432
T00477,A00292,null,Cash,Transfer,81910
,A00837,2015-03-14,Check,Withdrawal,82445
T00479,A00825,2017-01-23,Cash,Deposit,77072
T00480,A00825,2021-11-02,Cash,Deposit,58090
T00481,A00348,2021-07-14,Credit_Card,Purchase,7341
T00482,A00630,2020-08-05,Debit_Card,Withdrawal,11812
T00483,A00671,2017-03-08,Debit_Card,Purchase,94434
T00484,A00272,2021-12-06,Credit_Card,,71889
T00485,A00928,2019-02-17,Credit_Card,Transfer,null
T00486,,2022-03-31,Debit_Card,,52195
T00487,A00598,2019-10-12,Credit_Card,Purchase,77957
T00488,A00742,2017-01-01,,Deposit,38111
T00489,A00136,2018-04-26,Cash,,53980
T00490,A00984,2022-12-11,,Withdrawal,39157
,A00662,2016-12-23,Credit_Card,Purchase,null
T00492,,2023-07-12,Check,Purchase,20822
T00493,A00560,null,,,78299
T00494,A00561,2015-10-01,Debit_Card,Transfer,4571
T00495,A00936,2020-05-22,Cash,Deposit,56054
T00496,A00699,2017-11-30,Cash,Purchase,null
T00497,A00517,2021-11-21,Cash,Transfer,23813
,A00320,2021-07-08,Check,Purchase,41119
T00499,A00886,2015-12-13,Debit_Card,Purchase,36832
T00500,A00836,2018-04-19,Check,Purchase,null
T00501,A00521,2019-11-01,,Transfer,98599
T00502,A00172,2015-10-30,Credit_Card,Withdrawal,4118
T00503,A00025,2015-08-05,Credit_Card,Purchase,97144
T00504,,2014-06-19,Debit_Card,Purchase,22934
T00505,A00252,2017-01-07,Credit_Card,Transfer,64992
T00506,A00219,2019-08-19,Check,,17704
T00507,A00853,2020-12-04,Cash,Withdrawal,3570
T00508,A00760,2021-05-02,,Purchase,26533
T00509,A00427,2015-01-03,Cash,Withdrawal,35053
T00510,A00228,2015-10-21,Cash,Withdrawal,95765
T00511,A00846,2022-07-05,Check,,13040
T00512,A00601,null,Check,Deposit,899
T00513,A00286,2016-06-25,Credit_Card,Withdrawal,90959
T00514,A00405,2017-12-01,Debit_Card,Withdrawal,84537
T00515,A00614,2020-12-26,Credit_Card,Deposit,38863
T00516,A00507,2022-12-10,Check,Purchase,52554
T00517,A00371,2018-08-14,Check,Transfer,3976
T00518,A00797,null,Cash,Withdrawal,37759
