ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,OPENING_BALANCE,ACCOUNT_OPEN_DATE,ACCOUNT_TYPE,ACCOUNT_STATUS
A00288,C00288,B00001,392998,2013-12-08,CHECKING,Active
A00289,C00289,B00001,289122,2021-05-24,Fixed Deposit,ACTIVE
A00290,c00290,B00050,751133,2018-01-04,Checking,Closed
A00291,,b00030,494519,2016-05-22,SAVINGS,
A00292,C00292,B00031,759007,2019-03-31,checking,PENDING
,C00293,B00026,378086,2016-06-26,Savings,Pending
,c00294,b00027,484139,2021-04-26,FIXED DEPOSIT,
,C00295,B00046,743058,2021-09-10,CHECKING,CLOSED
A00296,c00296,B00046,null,null,CHECKING,PENDING
A00297,c00297,B00017,477237,2019-03-15,SAVINGS,closed
A00298,C00298,B00002,200630,2017-06-22,Savings,Pending
A00299,c00299,B00005,null,null,,CLOSED
a00300,,B00033,406898,null,Savings,active
a00301,C00301,B00034,199880,2015-02-16,Savings,pending
A00302,C00302,b00030,162835,2015-01-21,checking,
A00303,c00303,b00047,51898,2017-03-27,Fixed Deposit,PENDING
a00304,C00304,B00015,840114,2015-05-03,Savings,pending
A00305,C00305,B00041,141020,2022-09-25,Checking,Pending
A00306,C00306,b00014,920841,2020-05-13,FIXED DEPOSIT,CLOSED
A00307,C00307,B00005,432614,null,Fixed Deposit,CLOSED
A00308,C00308,B00008,845965,2015-12-14,fixed deposit,Active
A00309,,B00002,979268,2021-04-27,fixed deposit,active
A00310,C00310,b00020,887862,null,CHECKING,pending
,C00311,B00018,6798,2014-01-25,fixed deposit,closed
A00312,c00312,B00002,603528,null,fixed deposit,ACTIVE
A00313,C00313,b00011,678883,null,Savings,Active
A00314,c00314,B00039,null,2021-02-28,savings,Pending
A00315,C00315,b00012,634210,2022-09-24,FIXED DEPOSIT,PENDING
A00316,,B00048,859689,2023-03-07,Fixed Deposit,
A00317,c00317,b00049,491971,2022-07-29,Checking,Closed
a00318,C00318,,983527,2022-12-08,fixed deposit,PENDING
A00319,C00319,B00034,24549,2021-11-17,FIXED DEPOSIT,closed
A00320,C00320,b00005,768913,2021-01-04,fixed deposit,Closed
a00321,C00321,B00050,533101,2019-10-24,,Pending
a00322,C00322,b00006,854125,2023-04-13,CHECKING,active
a00323,,B00031,666532,2017-06-07,SAVINGS,Closed
A00324,C00324,b00039,215561,2019-04-07,Checking,ACTIVE
A00325,c00325,B00020,157963,2016-03-17,Checking,closed
A00326,C00326,B00017,693127,2019-04-08,CHECKING,pending
a00327,c00327,b00021,774378,2014-02-23,Fixed Deposit,ACTIVE
a00328,C00328,b00019,64107,2020-09-19,savings,Pending
A00329,C00329,B00040,414119,2015-11-03,checking,PENDING
a00330,,b00013,492934,2017-07-24,,Closed
A00331,c00331,b00032,135803,2020-08-22,Checking,ACTIVE
a00332,C00332,b00035,826025,2017-03-15,Savings,PENDING
A00333,c00333,B00038,204782,2020-06-20,Fixed Deposit,Closed
A00334,,B00043,null,2019-11-04,Checking,PENDING
A00335,c00335,B00020,465486,2019-08-26,savings,pending
a00336,c00336,b00034,144970,2016-10-17,Savings,pending
a00337,C00337,b00016,710022,2016-05-02,FIXED DEPOSIT,closed
a00338,C00338,B00050,398813,2021-03-23,Checking,Pending
,c00339,b00049,242411,2015-09-03,fixed deposit,Pending
,C00340,b00030,349405,2016-07-31,checking,ACTIVE
A00341,C00341,B00049,248852,2020-01-05,fixed deposit,closed
a00342,c00342,B00029,690295,2019-08-03,FIXED DEPOSIT,Active
a00343,c00343,B00004,164121,2020-06-23,Fixed Deposit,active
A00344,,b00023,771558,2020-03-04,Savings,active
,,B00036,496668,2016-09-15,FIXED DEPOSIT,pending
A00346,c00346,b00046,62568,2018-12-12,Savings,CLOSED
A00347,C00347,B00045,18357,2016-02-12,savings,pending
a00348,C00348,B00046,null,2022-10-09,SAVINGS,closed
a00349,C00349,B00009,155708,2020-03-31,fixed deposit,Active
a00350,c00350,B00044,null,null,savings,closed
a00351,c00351,B00012,405821,2020-10-07,Fixed Deposit,CLOSED
,c00352,b00031,118699,2015-01-07,fixed deposit,CLOSED
a00353,,,null,2019-06-11,,CLOSED
A00354,C00354,b00016,893021,2021-12-28,checking,closed
A00355,C00355,b00020,801971,2018-11-02,Savings,PENDING
a00356,C00356,b00001,979104,2023-06-26,CHECKING,pending
a00357,c00357,b00026,598400,2021-04-26,Fixed Deposit,closed
A00358,c00358,b00029,881596,2020-11-10,FIXED DEPOSIT,closed
A00359,,b00042,903364,2021-10-28,SAVINGS,active
a00360,c00360,B00040,653420,2015-05-28,,CLOSED
a00361,c00361,B00048,604814,2019-01-29,Checking,Pending
A00362,c00362,B00024,708114,2015-01-15,Savings,active
a00363,C00363,B00046,175119,2018-10-07,Fixed Deposit,Closed
A00364,C00364,b00036,null,2019-08-08,Savings,Pending
a00365,C00365,B00021,812922,2016-08-18,checking,CLOSED
a00366,C00366,b00007,268621,2016-02-04,SAVINGS,pending
A00367,c00367,B00024,457866,null,SAVINGS,closed
A00368,C00368,B00047,821844,2023-08-11,FIXED DEPOSIT,Pending
A00369,C00369,B00040,573780,2015-06-11,Fixed Deposit,closed
a00370,C00370,B00026,512235,null,Checking,active
a00371,c00371,B00041,452958,2022-08-27,Savings,pending
A00372,C00372,B00020,442982,2019-04-23,Savings,active
A00373,C00373,b00026,403875,2014-02-25,SAVINGS,active
a00374,C00374,B00034,119785,null,checking,ACTIVE
A00375,C00375,B00023,992958,2019-08-04,savings,closed
a00376,C00376,,655456,2014-03-06,SAVINGS,CLOSED
a00377,C00377,b00005,390448,2019-05-13,CHECKING,pending
A00378,c00378,b00046,507038,2022-12-04,Checking,Closed
A00379,c00379,B00018,133792,2015-12-19,Savings,Closed
a00380,C00380,b00036,122739,2023-06-06,Savings,CLOSED
A00381,C00381,b00039,259085,2021-08-15,fixed deposit,PENDING
A00382,c00382,B00045,545098,null,savings,PENDING
A00383,C00383,B00006,367499,2018-07-17,SAVINGS,active
A00384,C00384,B00047,924792,2022-05-23,,PENDING
A00385,C00385,B00047,227485,2014-01-19,Savings,ACTIVE
a00386,C00386,b00004,697101,2016-09-06,CHECKING,Pending
,C00387,B00015,810794,null,Fixed Deposit,closed
A00388,c00388,B00002,401489,2022-04-18,SAVINGS,Pending
A00389,C00389,B00031,916760,2020-06-04,Savings,closed
a00390,C00390,b00038,827332,2018-07-23,savings,ACTIVE
a00391,,B00026,153169,2017-06-08,FIXED DEPOSIT,CLOSED
A00392,c00392,B00008,221941,null,Fixed Deposit,Closed
a00393,C00393,,724286,2023-07-09,SAVINGS,pending
A00394,C00394,B00036,1171,2016-06-24,checking,closed
a00395,C00395,B00049,184822,2018-06-06,checking,PENDING
A00396,C00396,B00007,664925,2018-12-02,checking,closed
A00397,C00397,B00027,594634,2019-07-28,Checking,Pending
a00398,c00398,b00025,247562,null,,CLOSED
A00399,C00399,b00041,196745,2022-11-06,savings,CLOSED
a00400,C00400,B00024,434103,2017-08-31,checking,active
A00401,c00401,b00016,543320,2015-06-05,SAVINGS,
,C00402,B00009,503829,2016-10-14,,CLOSED
a00403,C00403,B00050,null,2016-07-25,savings,active
A00404,C00404,B00005,803933,2014-03-21,fixed deposit,closed
A00405,C00405,B00002,472769,2014-10-28,Fixed Deposit,ACTIVE
A00406,C00406,b00028,432496,null,Savings,CLOSED
A00407,C00407,B00044,496425,2016-01-08,Savings,Pending
,c00408,b00043,400571,2019-05-19,savings,active
A00409,C00409,B00027,612266,2020-03-31,SAVINGS,Pending
a00410,C00410,b00029,null,2022-04-16,Checking,active
a00411,C00411,B00036,51072,2016-04-03,checking,pending
,C00412,b00013,872501,2018-05-22,,Active
a00413,c00413,,379445,2022-06-14,Checking,
a00414,c00414,B00011,187400,2015-01-26,fixed deposit,pending
A00415,c00415,B00041,834123,2020-01-13,Savings,closed
a00416,C00416,,13353,2020-11-23,,Active
a00417,,B00019,228976,2015-04-20,savings,CLOSED
,C00418,b00009,null,2022-10-23,checking,ACTIVE
a00419,C00419,B00010,null,2022-10-30,Fixed Deposit,CLOSED
a00420,c00420,b00044,412044,null,savings,Closed
A00421,c00421,B00006,802455,2019-07-22,Checking,pending
,C00422,b00030,666327,2016-12-21,Fixed Deposit,active
a00423,C00423,B00028,null,2015-10-12,,closed
A00424,c00424,B00021,591400,2020-01-19,SAVINGS,PENDING
A00425,C00425,B00033,196933,2017-04-15,SAVINGS,Closed
A00426,c00426,B00028,387167,2015-05-10,CHECKING,closed
a00427,C00427,B00027,90352,2022-06-30,Savings,Closed
A00428,C00428,,490257,2016-03-28,Savings,pending
a00429,C00429,b00045,467112,2014-05-11,Savings,ACTIVE
A00430,,b00011,551450,2017-11-16,FIXED DEPOSIT,Closed
a00431,c00431,B00007,270285,2015-10-25,FIXED DEPOSIT,Pending
a00432,c00432,B00008,873641,null,Checking,CLOSED
A00433,C00433,B00025,547997,2017-09-07,FIXED DEPOSIT,active
A00434,C00434,B00018,298806,2015-07-25,CHECKING,pending
A00435,C00435,B00038,96293,null,Fixed Deposit,
,C00436,b00003,934751,2023-01-13,savings,Pending
A00437,C00437,,778930,2020-04-30,Checking,
A00438,c00438,B00036,291028,null,SAVINGS,active
A00439,C00439,b00018,48752,2021-09-11,Savings,Closed
,C00440,b00021,784386,2020-01-14,Fixed Deposit,Pending
A00441,,,841827,2017-11-26,fixed deposit,CLOSED
A00442,c00442,b00047,72507,2017-09-04,checking,active
,C00443,B00026,7324,2022-05-03,Checking,ACTIVE
A00444,C00444,b00044,662990,2019-07-25,Fixed Deposit,pending
A00445,C00445,b00028,498776,2019-09-13,savings,active
A00446,c00446,b00022,669545,null,Fixed Deposit,
A00447,C00447,,null,2018-07-24,checking,Pending
A00448,C00448,B00004,806721,2015-12-25,Savings,closed
A00449,C00449,B00007,944714,2015-10-26,fixed deposit,PENDING
a00450,C00450,B00047,637078,2022-08-29,Checking,closed
,C00451,B00030,748265,null,fixed deposit,Active
A00452,C00452,B00034,690522,2020-05-19,checking,closed
A00453,,B00006,662988,2017-12-24,FIXED DEPOSIT,Active
A00454,c00454,B00046,819766,2017-07-01,Fixed Deposit,PENDING
A00455,C00455,b00009,824747,2015-02-27,Checking,Pending
A00456,C00456,B00003,714649,2015-11-02,CHECKING,active
A00457,C00457,B00027,321862,2021-12-20,Fixed Deposit,closed
,C00458,B00012,674644,2017-07-01,CHECKING,active
A00459,c00459,b00028,970359,2016-07-01,FIXED DEPOSIT,active
A00460,C00460,B00014,null,2019-04-16,SAVINGS,active
