ACCOUNT_ID,TRANSACTION_ID,TRANSACTION_DATE,TRANSACTION_MEDIA,TRANSACTION_TYPE,TRANSACTION_AMOUNT,_silver_loaded_at
A00840,T03840,2018-04-07,Debit_Card,Withdrawal,14270,2026-04-17T08:27:31.745Z
A00888,T04929,2014-03-10,Unknown,Withdrawal,72744,2026-04-17T08:27:31.745Z
A00901,T04572,2021-09-29,Unknown,Transfer,65739,2026-04-17T08:27:31.745Z
A00911,T04033,2019-03-19,Cash,Purchase,86618,2026-04-17T08:27:31.745Z
A00913,T02535,2018-04-06,Cash,Purchase,87969,2026-04-17T08:27:31.745Z
A00923,T04816,2021-08-30,Debit_Card,Transfer,88703,2026-04-17T08:27:31.745Z
A00947,T04866,2018-10-22,Check,Purchase,58332,2026-04-17T08:27:31.745Z
A00950,T04744,2023-06-24,Credit_Card,Purchase,73087,2026-04-17T08:27:31.745Z
A00968,T02534,2020-07-25,Credit_Card,Deposit,59865,2026-04-17T08:27:31.745Z
A00970,T04800,2021-09-05,Credit_Card,Deposit,87001,2026-04-17T08:27:31.745Z
A00992,T04214,2022-07-21,Unknown,Withdrawal,61250,2026-04-17T08:27:31.745Z
A00003,T04389,2020-12-24,Cash,Transfer,9387,2026-04-17T08:27:31.745Z
A00009,T03985,2019-03-09,Check,Unknown,49713,2026-04-17T08:27:31.745Z
A00033,T04028,2021-08-07,Check,Deposit,54701,2026-04-17T08:27:31.745Z
A00209,T04354,2022-09-25,Check,Deposit,53498,2026-04-17T08:27:31.745Z
A00253,T04676,2022-03-10,Credit_Card,Deposit,52815,2026-04-17T08:27:31.745Z
A00291,T04843,2014-09-25,Debit_Card,Transfer,49713,2026-04-17T08:27:31.745Z
A00440,T04483,2019-05-31,Check,Purchase,99436,2026-04-17T08:27:31.745Z
A00698,T03776,2023-03-06,Credit_Card,Deposit,47530,2026-04-17T08:27:31.745Z
A00760,T04048,2023-04-05,Credit_Card,Unknown,5439,2026-04-17T08:27:31.745Z
A00816,T03747,1900-01-01,Debit_Card,Deposit,88677,2026-04-17T08:27:31.745Z
A00909,T03839,2015-06-27,Debit_Card,Deposit,47749,2026-04-17T08:27:31.745Z
A00917,T04748,2018-12-30,Debit_Card,Purchase,80335,2026-04-17T08:27:31.745Z
A00932,T04988,2020-11-02,Check,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00510,T04914,2018-04-29,Cash,Withdrawal,72774,2026-04-17T08:27:31.745Z
A00739,T03897,2023-06-23,Check,Purchase,96969,2026-04-17T08:27:31.745Z
A00038,T02124,2015-09-13,Credit_Card,Deposit,20175,2026-04-17T08:27:31.745Z
A00077,T04631,2021-08-08,Credit_Card,Unknown,17805,2026-04-17T08:27:31.745Z
A00155,T04981,2014-09-14,Credit_Card,Transfer,69907,2026-04-17T08:27:31.745Z
A00171,T04885,2017-12-02,Check,Purchase,9290,2026-04-17T08:27:31.745Z
A00173,T04972,2022-12-05,Cash,Withdrawal,77216,2026-04-17T08:27:31.745Z
A00205,T03444,2022-07-15,Cash,Deposit,77958,2026-04-17T08:27:31.745Z
A00234,T04889,2020-07-24,Debit_Card,Transfer,22863,2026-04-17T08:27:31.745Z
A00301,T04262,2020-06-14,Credit_Card,Withdrawal,71992,2026-04-17T08:27:31.745Z
A00326,T04841,2023-06-14,Credit_Card,Deposit,49713,2026-04-17T08:27:31.745Z
A00349,T04898,2020-01-03,Cash,Withdrawal,62864,2026-04-17T08:27:31.745Z
A00356,T04994,2013-11-26,Debit_Card,Withdrawal,9585,2026-04-17T08:27:31.745Z
A00397,T04870,2021-06-29,Check,Withdrawal,48561,2026-04-17T08:27:31.745Z
A00450,T04707,2019-01-24,Check,Purchase,73407,2026-04-17T08:27:31.745Z
A00491,T04823,2017-12-26,Debit_Card,Transfer,53367,2026-04-17T08:27:31.745Z
A00515,T03522,2020-09-26,Check,Deposit,49713,2026-04-17T08:27:31.745Z
A00552,T04658,2021-09-20,Cash,Unknown,63983,2026-04-17T08:27:31.745Z
A00560,T04212,2021-07-16,Debit_Card,Deposit,96445,2026-04-17T08:27:31.745Z
A00591,T02728,2022-12-06,Credit_Card,Transfer,78827,2026-04-17T08:27:31.745Z
A00627,T03513,2023-08-03,Check,Unknown,18944,2026-04-17T08:27:31.745Z
A00635,T04997,2020-09-14,Unknown,Unknown,296,2026-04-17T08:27:31.745Z
A00659,T04607,2022-08-15,Cash,Purchase,49713,2026-04-17T08:27:31.745Z
A00667,T04624,2023-07-04,Check,Withdrawal,36346,2026-04-17T08:27:31.745Z
A00682,T02619,2017-07-01,Check,Purchase,55697,2026-04-17T08:27:31.745Z
A00683,T04770,2022-10-18,Debit_Card,Withdrawal,57645,2026-04-17T08:27:31.745Z
A00704,T04692,2023-07-01,Debit_Card,Unknown,39569,2026-04-17T08:27:31.745Z
A00723,T03531,2019-08-13,Debit_Card,Transfer,43476,2026-04-17T08:27:31.745Z
A00734,T04724,2014-12-23,Check,Withdrawal,92721,2026-04-17T08:27:31.745Z
A00736,T04305,1900-01-01,Cash,Purchase,49713,2026-04-17T08:27:31.745Z
A00770,T03953,2014-05-07,Credit_Card,Deposit,96163,2026-04-17T08:27:31.745Z
A00790,T04391,2014-10-24,Debit_Card,Unknown,94528,2026-04-17T08:27:31.745Z
A00819,T04505,2016-02-10,Cash,Deposit,88329,2026-04-17T08:27:31.745Z
A00838,T03880,2022-01-01,Credit_Card,Transfer,27123,2026-04-17T08:27:31.745Z
A00847,T04128,2021-06-03,Cash,Deposit,22873,2026-04-17T08:27:31.745Z
A00904,T03300,2022-03-06,Cash,Purchase,18978,2026-04-17T08:27:31.745Z
A00905,T04901,2021-05-17,Credit_Card,Unknown,3678,2026-04-17T08:27:31.745Z
A00956,T04087,2022-01-08,Cash,Withdrawal,84876,2026-04-17T08:27:31.745Z
A00961,T01973,2022-09-04,Credit_Card,Transfer,27605,2026-04-17T08:27:31.745Z
A00095,T04024,1900-01-01,Credit_Card,Purchase,49140,2026-04-17T08:27:31.745Z
A00264,T04136,2021-05-21,Credit_Card,Deposit,64730,2026-04-17T08:27:31.745Z
A00300,T03617,1900-01-01,Check,Purchase,83619,2026-04-17T08:27:31.745Z
A00376,T04111,2023-06-07,Cash,Withdrawal,54905,2026-04-17T08:27:31.745Z
A00441,T04246,2020-02-23,Check,Withdrawal,76584,2026-04-17T08:27:31.745Z
A00463,T03413,2023-07-17,Cash,Purchase,98902,2026-04-17T08:27:31.745Z
A00629,T04397,1900-01-01,Cash,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00711,T04115,2020-06-24,Debit_Card,Unknown,81906,2026-04-17T08:27:31.745Z
A00795,T03699,2020-03-09,Cash,Unknown,68194,2026-04-17T08:27:31.745Z
A00805,T04792,2021-05-02,Check,Transfer,51372,2026-04-17T08:27:31.745Z
A00436,T04838,2019-01-02,Cash,Deposit,19254,2026-04-17T08:27:31.745Z
A00692,T04426,2020-11-28,Cash,Withdrawal,49616,2026-04-17T08:27:31.745Z
A00864,T04243,2023-01-15,Check,Purchase,14476,2026-04-17T08:27:31.745Z
A00883,T04267,2023-05-05,Check,Purchase,63650,2026-04-17T08:27:31.745Z
A00045,T02710,2022-07-12,Debit_Card,Transfer,49713,2026-04-17T08:27:31.745Z
A00055,T04968,2020-09-19,Cash,Purchase,61567,2026-04-17T08:27:31.745Z
A00069,T04880,2017-02-02,Debit_Card,Deposit,7009,2026-04-17T08:27:31.745Z
A00071,T04700,2022-11-22,Check,Transfer,84154,2026-04-17T08:27:31.745Z
A00119,T04911,2013-11-25,Credit_Card,Transfer,52206,2026-04-17T08:27:31.745Z
A00132,T04570,2020-12-17,Debit_Card,Withdrawal,35194,2026-04-17T08:27:31.745Z
A00140,T04520,2021-02-08,Check,Withdrawal,60600,2026-04-17T08:27:31.745Z
A00154,T03134,2022-11-10,Credit_Card,Deposit,37217,2026-04-17T08:27:31.745Z
A00157,T04449,2016-09-13,Credit_Card,Unknown,88805,2026-04-17T08:27:31.745Z
A00211,T04926,2021-02-07,Check,Withdrawal,42808,2026-04-17T08:27:31.745Z
A00249,T03025,2020-08-14,Cash,Deposit,4573,2026-04-17T08:27:31.745Z
A00254,T03191,2022-03-17,Debit_Card,Deposit,90175,2026-04-17T08:27:31.745Z
A00256,T02723,2023-01-26,Credit_Card,Deposit,49713,2026-04-17T08:27:31.745Z
A00261,T03813,2019-06-28,Credit_Card,Purchase,3516,2026-04-17T08:27:31.745Z
A00265,T04976,2017-04-25,Credit_Card,Transfer,66253,2026-04-17T08:27:31.745Z
A00298,T04630,2017-05-27,Debit_Card,Deposit,62944,2026-04-17T08:27:31.745Z
A00305,T03309,2019-03-25,Credit_Card,Withdrawal,50727,2026-04-17T08:27:31.745Z
A00348,T04432,2014-11-12,Check,Deposit,96617,2026-04-17T08:27:31.745Z
A00385,T04962,2017-04-12,Credit_Card,Transfer,1272,2026-04-17T08:27:31.745Z
A00395,T04146,2023-02-19,Check,Purchase,49713,2026-04-17T08:27:31.745Z
A00452,T01716,2018-11-17,Cash,Transfer,47713,2026-04-17T08:27:31.745Z
A00472,T04230,2017-11-11,Unknown,Withdrawal,74006,2026-04-17T08:27:31.745Z
A00479,T04072,2019-12-21,Debit_Card,Purchase,72676,2026-04-17T08:27:31.745Z
A00570,T04000,2014-08-02,Check,Withdrawal,47949,2026-04-17T08:27:31.745Z
A00587,T04170,2014-12-31,Debit_Card,Deposit,66652,2026-04-17T08:27:31.745Z
A00625,T04650,2022-04-29,Check,Transfer,3973,2026-04-17T08:27:31.745Z
A00681,T04364,2015-07-21,Check,Transfer,71715,2026-04-17T08:27:31.745Z
A00694,T04842,2017-06-23,Cash,Purchase,92901,2026-04-17T08:27:31.745Z
A00716,T03737,2019-08-24,Check,Deposit,49713,2026-04-17T08:27:31.745Z
A00725,T04747,2022-07-22,Debit_Card,Withdrawal,12080,2026-04-17T08:27:31.745Z
A00731,T03983,1900-01-01,Check,Purchase,49713,2026-04-17T08:27:31.745Z
A00744,T04807,2023-02-04,Unknown,Deposit,36491,2026-04-17T08:27:31.745Z
A00788,T03179,2022-01-08,Debit_Card,Deposit,49713,2026-04-17T08:27:31.745Z
A00823,T04611,2022-11-03,Debit_Card,Deposit,36226,2026-04-17T08:27:31.745Z
A00867,T02826,2022-05-12,Unknown,Purchase,99946,2026-04-17T08:27:31.745Z
A00877,T03024,2023-05-31,Unknown,Deposit,17619,2026-04-17T08:27:31.745Z
A00886,T02528,2018-03-04,Credit_Card,Transfer,44927,2026-04-17T08:27:31.745Z
A00889,T03816,2019-10-11,Debit_Card,Transfer,10554,2026-04-17T08:27:31.745Z
A00893,T04573,2023-03-06,Check,Withdrawal,58441,2026-04-17T08:27:31.745Z
A00900,T01145,2022-01-30,Credit_Card,Transfer,81803,2026-04-17T08:27:31.745Z
A00914,T04969,2018-03-24,Credit_Card,Deposit,85731,2026-04-17T08:27:31.745Z
A00994,T02951,2021-12-17,Credit_Card,Purchase,87655,2026-04-17T08:27:31.745Z
A00997,T03886,2020-07-19,Check,Deposit,32902,2026-04-17T08:27:31.745Z
A00030,T04408,2019-09-27,Credit_Card,Unknown,3196,2026-04-17T08:27:31.745Z
A00057,T03980,2022-06-05,Credit_Card,Transfer,12895,2026-04-17T08:27:31.745Z
A00067,T02940,2021-08-30,Debit_Card,Purchase,22325,2026-04-17T08:27:31.745Z
A00162,T04840,2021-03-13,Cash,Deposit,14963,2026-04-17T08:27:31.745Z
A00222,T04098,2016-01-16,Cash,Withdrawal,7610,2026-04-17T08:27:31.745Z
A00246,T04808,2021-02-04,Unknown,Purchase,62096,2026-04-17T08:27:31.745Z
A00359,T04561,2017-05-05,Debit_Card,Deposit,39756,2026-04-17T08:27:31.745Z
A00443,T04871,2014-11-09,Unknown,Purchase,94075,2026-04-17T08:27:31.745Z
A00481,T03514,2020-07-26,Cash,Deposit,32974,2026-04-17T08:27:31.745Z
A00633,T03158,2022-07-13,Debit_Card,Purchase,5858,2026-04-17T08:27:31.745Z
A00655,T04699,2022-07-21,Check,Purchase,25742,2026-04-17T08:27:31.745Z
A00714,T04040,2022-12-03,Debit_Card,Transfer,41378,2026-04-17T08:27:31.745Z
A00719,T03290,2016-10-10,Debit_Card,Purchase,49713,2026-04-17T08:27:31.745Z
A00869,T04749,2023-05-30,Check,Purchase,49713,2026-04-17T08:27:31.745Z
A00940,T02139,2020-07-15,Debit_Card,Withdrawal,79809,2026-04-17T08:27:31.745Z
A00954,T03189,2015-06-24,Cash,Deposit,94253,2026-04-17T08:27:31.745Z
A00989,T04490,2016-09-13,Check,Deposit,6073,2026-04-17T08:27:31.745Z
A00108,T04684,2022-01-03,Check,Withdrawal,68788,2026-04-17T08:27:31.745Z
A00650,T04668,2020-04-16,Cash,Withdrawal,26845,2026-04-17T08:27:31.745Z
A00952,T04780,2016-11-24,Credit_Card,Purchase,61922,2026-04-17T08:27:31.745Z
A00999,T03596,2019-06-06,Check,Purchase,78556,2026-04-17T08:27:31.745Z
A00008,T04612,2022-07-25,Debit_Card,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00011,T04332,2020-12-31,Check,Purchase,53297,2026-04-17T08:27:31.745Z
A00054,T03437,2014-05-05,Credit_Card,Purchase,57585,2026-04-17T08:27:31.745Z
A00065,T04321,2022-06-17,Credit_Card,Deposit,49713,2026-04-17T08:27:31.745Z
A00066,T04476,2016-01-16,Check,Deposit,35974,2026-04-17T08:27:31.745Z
A00089,T04990,2013-11-09,Check,Deposit,51730,2026-04-17T08:27:31.745Z
A00103,T04242,2023-01-06,Unknown,Purchase,84788,2026-04-17T08:27:31.745Z
A00137,T04639,2018-11-23,Cash,Transfer,32186,2026-04-17T08:27:31.745Z
A00139,T04742,2021-04-03,Check,Deposit,46070,2026-04-17T08:27:31.745Z
A00163,T04548,2023-04-27,Debit_Card,Transfer,30036,2026-04-17T08:27:31.745Z
A00172,T04982,2017-10-22,Debit_Card,Deposit,9400,2026-04-17T08:27:31.745Z
A00174,T02594,2019-08-19,Credit_Card,Purchase,21768,2026-04-17T08:27:31.745Z
A00193,T04429,2016-02-14,Cash,Withdrawal,96634,2026-04-17T08:27:31.745Z
A00199,T04554,2016-09-01,Debit_Card,Deposit,70623,2026-04-17T08:27:31.745Z
A00231,T04690,2016-11-16,Debit_Card,Purchase,28850,2026-04-17T08:27:31.745Z
A00245,T03989,2014-09-05,Credit_Card,Withdrawal,5779,2026-04-17T08:27:31.745Z
A00248,T03307,2023-07-03,Check,Purchase,20443,2026-04-17T08:27:31.745Z
A00272,T03688,2018-05-31,Unknown,Unknown,43153,2026-04-17T08:27:31.745Z
A00281,T03201,2015-03-07,Debit_Card,Purchase,94659,2026-04-17T08:27:31.745Z
A00308,T02114,2021-04-05,Debit_Card,Withdrawal,85674,2026-04-17T08:27:31.745Z
A00310,T04945,2021-02-03,Check,Transfer,26589,2026-04-17T08:27:31.745Z
A00320,T03417,2014-12-27,Debit_Card,Purchase,49713,2026-04-17T08:27:31.745Z
A00341,T04534,2023-07-24,Credit_Card,Purchase,89278,2026-04-17T08:27:31.745Z
A00358,T04757,2023-07-09,Check,Purchase,83822,2026-04-17T08:27:31.745Z
A00365,T04308,2022-03-20,Debit_Card,Purchase,58589,2026-04-17T08:27:31.745Z
A00379,T04458,2015-07-11,Check,Unknown,39433,2026-04-17T08:27:31.745Z
A00399,T03626,2020-12-04,Debit_Card,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00405,T04852,2022-09-16,Unknown,Deposit,9240,2026-04-17T08:27:31.745Z
A00468,T04442,2014-08-11,Cash,Withdrawal,32822,2026-04-17T08:27:31.745Z
A00475,T04236,2016-04-26,Credit_Card,Unknown,10009,2026-04-17T08:27:31.745Z
A00494,T04737,2015-02-04,Cash,Withdrawal,33176,2026-04-17T08:27:31.745Z
A00534,T04185,2022-02-26,Cash,Deposit,49713,2026-04-17T08:27:31.745Z
A00571,T04931,2020-03-04,Cash,Purchase,73107,2026-04-17T08:27:31.745Z
A00586,T04862,1900-01-01,Cash,Withdrawal,73945,2026-04-17T08:27:31.745Z
A00639,T04814,2017-11-20,Credit_Card,Purchase,49713,2026-04-17T08:27:31.745Z
A00646,T04642,2014-12-10,Check,Deposit,7257,2026-04-17T08:27:31.745Z
A00690,T04844,2016-11-19,Debit_Card,Unknown,94322,2026-04-17T08:27:31.745Z
A00740,T04900,2019-07-07,Check,Withdrawal,91574,2026-04-17T08:27:31.745Z
A00776,T04719,2023-02-13,Credit_Card,Withdrawal,26728,2026-04-17T08:27:31.745Z
A00783,T04190,2015-11-23,Unknown,Deposit,64155,2026-04-17T08:27:31.745Z
A00803,T03867,2014-12-31,Credit_Card,Transfer,99090,2026-04-17T08:27:31.745Z
A00811,T02874,2019-08-30,Check,Purchase,51144,2026-04-17T08:27:31.745Z
A00834,T02358,2019-02-04,Debit_Card,Transfer,53455,2026-04-17T08:27:31.745Z
A00863,T03721,1900-01-01,Credit_Card,Withdrawal,67029,2026-04-17T08:27:31.745Z
A00898,T03010,2014-03-03,Debit_Card,Deposit,33281,2026-04-17T08:27:31.745Z
A00910,T03073,2023-02-26,Cash,Deposit,15756,2026-04-17T08:27:31.745Z
A00933,T04817,2023-01-01,Credit_Card,Transfer,46493,2026-04-17T08:27:31.745Z
A00937,T04288,2020-05-13,Unknown,Purchase,49713,2026-04-17T08:27:31.745Z
A00984,T04998,2019-11-16,Check,Withdrawal,98693,2026-04-17T08:27:31.745Z
A00005,T04329,2020-04-17,Check,Purchase,44149,2026-04-17T08:27:31.745Z
A00206,T04755,2020-05-14,Cash,Withdrawal,8783,2026-04-17T08:27:31.745Z
A00286,T04635,2017-05-31,Debit_Card,Transfer,49713,2026-04-17T08:27:31.745Z
A00294,T03756,2018-12-09,Cash,Withdrawal,1874,2026-04-17T08:27:31.745Z
A00413,T04779,2021-04-16,Cash,Transfer,56641,2026-04-17T08:27:31.745Z
A00430,T02155,2020-01-19,Debit_Card,Transfer,52203,2026-04-17T08:27:31.745Z
A00553,T04663,2018-12-10,Debit_Card,Transfer,16460,2026-04-17T08:27:31.745Z
A00703,T04984,2014-06-27,Unknown,Purchase,11664,2026-04-17T08:27:31.745Z
A00858,T04120,2017-06-01,Credit_Card,Unknown,58083,2026-04-17T08:27:31.745Z
A00881,T04868,2019-01-08,Check,Unknown,50755,2026-04-17T08:27:31.745Z
A00941,T04492,2021-12-10,Check,Purchase,78022,2026-04-17T08:27:31.745Z
A00837,T04405,2017-06-30,Cash,Deposit,70002,2026-04-17T08:27:31.745Z
A00013,T04679,2015-08-22,Cash,Deposit,49713,2026-04-17T08:27:31.745Z
A00037,T04623,2016-06-29,Cash,Purchase,38875,2026-04-17T08:27:31.745Z
A00047,T04171,2021-11-11,Cash,Withdrawal,10379,2026-04-17T08:27:31.745Z
A00051,T01192,2022-05-26,Credit_Card,Unknown,37064,2026-04-17T08:27:31.745Z
A00081,T04322,2018-03-12,Check,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00093,T04535,2017-11-04,Cash,Unknown,5962,2026-04-17T08:27:31.745Z
A00099,T03986,2013-11-05,Cash,Withdrawal,79928,2026-04-17T08:27:31.745Z
A00110,T04622,2020-11-26,Check,Transfer,32615,2026-04-17T08:27:31.745Z
A00135,T04281,2015-11-26,Debit_Card,Purchase,89379,2026-04-17T08:27:31.745Z
A00146,T03385,2017-03-03,Credit_Card,Transfer,89533,2026-04-17T08:27:31.745Z
A00216,T04017,2021-12-18,Check,Purchase,53719,2026-04-17T08:27:31.745Z
A00219,T03524,2022-03-12,Cash,Purchase,68089,2026-04-17T08:27:31.745Z
A00220,T04245,2017-10-14,Check,Unknown,45774,2026-04-17T08:27:31.745Z
A00251,T02896,2020-01-01,Cash,Withdrawal,49503,2026-04-17T08:27:31.745Z
A00317,T03110,2019-01-03,Check,Purchase,49713,2026-04-17T08:27:31.745Z
A00363,T04895,2018-12-03,Cash,Transfer,84182,2026-04-17T08:27:31.745Z
A00384,T04681,2015-04-07,Credit_Card,Transfer,6058,2026-04-17T08:27:31.745Z
A00420,T04372,2020-05-08,Credit_Card,Withdrawal,96737,2026-04-17T08:27:31.745Z
A00444,T04471,2018-03-05,Check,Transfer,12271,2026-04-17T08:27:31.745Z
A00455,T04614,2016-12-13,Check,Deposit,15757,2026-04-17T08:27:31.745Z
A00477,T04540,2021-02-27,Cash,Transfer,44740,2026-04-17T08:27:31.745Z
A00486,T04894,2020-02-25,Unknown,Purchase,1496,2026-04-17T08:27:31.745Z
A00489,T03402,2021-08-25,Cash,Transfer,41314,2026-04-17T08:27:31.745Z
A00498,T04228,2018-08-01,Check,Transfer,70193,2026-04-17T08:27:31.745Z
A00516,T04965,2016-04-27,Check,Withdrawal,20165,2026-04-17T08:27:31.745Z
A00525,T04960,2023-08-08,Credit_Card,Unknown,81994,2026-04-17T08:27:31.745Z
A00530,T03337,2019-10-12,Cash,Transfer,57143,2026-04-17T08:27:31.745Z
A00535,T04010,2018-12-20,Credit_Card,Transfer,68228,2026-04-17T08:27:31.745Z
A00566,T03067,2014-12-31,Cash,Deposit,65228,2026-04-17T08:27:31.745Z
A00573,T05000,2022-05-17,Credit_Card,Transfer,69639,2026-04-17T08:27:31.745Z
A00576,T03352,2022-12-08,Credit_Card,Withdrawal,49713,2026-04-17T08:27:31.745Z
A00585,T03479,2015-07-04,Unknown,Deposit,74521,2026-04-17T08:27:31.745Z
A00597,T04196,2021-03-20,Credit_Card,Deposit,34842,2026-04-17T08:27:31.745Z
A00603,T04275,2023-07-03,Check,Unknown,60199,2026-04-17T08:27:31.745Z
A00652,T04232,2022-06-29,Debit_Card,Transfer,78737,2026-04-17T08:27:31.745Z
A00664,T04151,2021-01-10,Cash,Unknown,87946,2026-04-17T08:27:31.745Z
A00737,T04759,2019-06-15,Credit_Card,Deposit,90093,2026-04-17T08:27:31.745Z
A00771,T03310,2014-10-28,Credit_Card,Unknown,76798,2026-04-17T08:27:31.745Z
A00846,T03814,2022-08-09,Credit_Card,Transfer,17465,2026-04-17T08:27:31.745Z
A00851,T00665,2016-01-13,Credit_Card,Purchase,33549,2026-04-17T08:27:31.745Z
A00897,T04089,1900-01-01,Unknown,Purchase,35986,2026-04-17T08:27:31.745Z
A00930,T00796,2015-08-05,Credit_Card,Purchase,16210,2026-04-17T08:27:31.745Z
A00942,T04249,2022-07-10,Check,Transfer,52788,2026-04-17T08:27:31.745Z
A00963,T04761,2022-01-26,Check,Withdrawal,94778,2026-04-17T08:27:31.745Z
A00974,T04902,2019-04-14,Cash,Deposit,44541,2026-04-17T08:27:31.745Z
A00979,T02878,2014-06-11,Credit_Card,Transfer,71885,2026-04-17T08:27:31.745Z
A00043,T04735,2019-01-31,Debit_Card,Purchase,50314,2026-04-17T08:27:31.745Z
A00046,T04417,2019-02-01,Unknown,Withdrawal,13173,2026-04-17T08:27:31.745Z
A00255,T04771,2019-06-28,Check,Transfer,64490,2026-04-17T08:27:31.745Z
A00295,T04126,2015-11-03,Debit_Card,Purchase,49713,2026-04-17T08:27:31.745Z
A00340,T03301,2018-03-01,Check,Purchase,54543,2026-04-17T08:27:31.745Z
A00391,T01527,2017-01-29,Debit_Card,Transfer,20663,2026-04-17T08:27:31.745Z
A00648,T00947,2017-09-01,Unknown,Transfer,93763,2026-04-17T08:27:31.745Z
A00831,T03701,2021-09-29,Credit_Card,Deposit,88676,2026-04-17T08:27:31.745Z
A00874,T04576,2016-11-03,Check,Transfer,717,2026-04-17T08:27:31.745Z
A00960,T04234,2019-05-21,Unknown,Purchase,63808,2026-04-17T08:27:31.745Z
A00150,T02975,2016-07-21,Cash,Transfer,38932,2026-04-17T08:27:31.745Z
A00577,T04502,2020-08-25,Unknown,Transfer,49713,2026-04-17T08:27:31.745Z
A00668,T04608,2015-11-28,Debit_Card,Purchase,13798,2026-04-17T08:27:31.745Z
A00926,T03818,1900-01-01,Debit_Card,Withdrawal,8942,2026-04-17T08:27:31.745Z
A00072,T04786,2022-11-13,Unknown,Deposit,62424,2026-04-17T08:27:31.745Z
